"","e","n","elev"
"331",317373.442240705,5220775.6697567,0
"332",317355.006901812,5220766.66153031,0
"333",317345.448812847,5220740.71863404,0
"334",317350.390385437,5220713.10158111,0
"335",317356.056771793,5220685.56538336,0
"336",317363.887464186,5220668.14803209,0
"337",317351.179479212,5220650.63329838,0
"338",317335.873689923,5220652.94911555,0
"339",317304.398354835,5220635.90048239,0
"340",317291.927402745,5220622.80206187,0
"341",317295.168699873,5220603.77489351,0
"342",317289.634255564,5220581.20736783,0
"343",317263.39207488,5220544.98944424,0
"344",317216.800524182,5220502.47506359,0
"345",317183.24226134,5220474.58513217,0
"346",317150.805133044,5220453.03937486,0
"347",317141.23691579,5220436.9726154,0
"348",317144.478268986,5220417.94561547,0
"349",317173.680902979,5220373.64750086,0
"350",317185.789437754,5220347.56188762,0
"351",317190.639652753,5220330.54347714,0
"352",317192.133453478,5220287.90820034,0
"353",317199.087070971,5220261.97865377,0
"354",317209.42094076,5220238.62126189,0
"355",317208.493106739,5220201.20264805,0
"356",317199.896987698,5220179.75645361,0
"357",317178.165960266,5220164.1609109,0
"358",317156.665169811,5220159.56615283,0
"359",317139.333755988,5220173.36275317,0
"360",317122.869443322,5220205.54782722,0
"361",317096.518508973,5220217.97170794,0
"362",317063.435205297,5220163.08877898,0
"363",317046.070121357,5220131.51869956,0
"364",317029.1149412,5220093.04362316,0
"365",317031.065949187,5220075.70162817,0
"366",317032.034645362,5220073.61477302,0
"367",317033.423439418,5220054.74667978,0
"368",317018.940684594,5220039.96043664,0
"369",316999.607644272,5220042.19265543,0
"370",316983.021528813,5220036.31737125,0
"371",316974.34073755,5220018.88617879,0
"372",316956.071311579,5220005.14055527,0
"373",316947.536079535,5220002.72460848,0
"374",316940.640273661,5219972.68844636,0
"375",316934.073028302,5219936.46963929,0
"376",316925.14111978,5219920.10145687,0
"377",316916.375631615,5219906.68496963,0
"378",316916.880434192,5219885.88902836,0
"379",316920.35900057,5219871.2782198,0
"380",316903.708614478,5219849.66500784,0
"381",316889.056460841,5219842.90803943,0
"382",316876.700896938,5219824.63210995,0
"383",316859.969027078,5219803.74161504,0
"384",316845.65896705,5219777.63401,0
"385",316831.186372768,5219752.97157635,0
"386",316811.159127516,5219725.49419757,0
"387",316795.626358855,5219713.51740276,0
"388",316782.119138893,5219690.06012928,0
"389",316768.994504406,5219686.03448451,0
"390",316752.48283332,5219686.02076828,0
"391",316725.278547875,5219666.88797733,0
"392",316695.097101937,5219644.86201303,0
"393",316677.347606136,5219609.67228305,0
"394",316664.731082356,5219581.55874387,0
"395",316649.767355804,5219564.52387491,0
"396",316649.123825138,5219563.72039138,0
"397",316629.086403122,5219546.11923582,0
"398",316610.417349247,5219529.40246344,0
"399",316594.566286837,5219513.73186763,0
"400",316594.004059352,5219512.20580372,0
"401",316583.155655108,5219487.94787406,0
"402",316583.236953121,5219487.22528955,0
"403",316572.307267332,5219463.68990496,0
"404",316564.192141648,5219444.49273708,0
"405",316553.096457703,5219425.69452117,0
"406",316544.744267608,5219402.08085474,0
"407",316523.507920795,5219375.56573425,0
"408",316509.922783815,5219349.53865939,0
"409",316490.217268964,5219322.46250179,0
"410",316479.773774293,5219306.26196739,0
"411",316471.658558557,5219287.0647838,0
"412",316472.30549768,5219284.57620086,0
"413",316469.667159462,5219265.62446526,0
"414",316455.275068358,5219242.35691847,0
"415",316441.095689923,5219214.96211311,0
